Ticker,InstOwnerPercent,TotalShareHolders,TotalInstitutionalShares,OwnerNames,SharesHeldIndividual,SharesValueIndividualin1000,TotalSharesinMarketinMillions,TotalValueHoldingsin1000
COL,72.04%,754,"118,098,642","ADAGE CAPITAL PARTNERS GP, L.L.C.","605,676","82,009",164,"$15,991 "
COL,72.04%,754,"118,098,642",BARCLAYS PLC,"604,571","81,859",164,"$15,991 "
COL,72.04%,754,"118,098,642",FIRST MANHATTAN CO,"601,250","81,409",164,"$15,991 "
COL,72.04%,754,"118,098,642","GRANTHAM, MAYO, VAN OTTERLOO & CO. LLC","600,400","81,294",164,"$15,991 "
COL,72.04%,754,"118,098,642",NEW YORK STATE COMMON RETIREMENT FUND,"592,599","80,238",164,"$15,991 "
COL,72.04%,754,"118,098,642",ARTISAN PARTNERS LIMITED PARTNERSHIP,"588,659","79,704",164,"$15,991 "
COL,72.04%,754,"118,098,642","WESTCHESTER CAPITAL MANAGEMENT, LLC","577,697","78,220",164,"$15,991 "
COL,72.04%,754,"118,098,642",SCHWAB CHARLES INVESTMENT MANAGEMENT INC,"558,291","75,593",164,"$15,991 "
COL,72.04%,754,"118,098,642","TEACHERS ADVISORS, LLC","479,843","64,971",164,"$15,991 "
COL,72.04%,754,"118,098,642",NOMURA HOLDINGS INC,"477,868","64,703",164,"$15,991 "
COL,72.04%,754,"118,098,642",ROYAL BANK OF CANADA,"475,270","64,352",164,"$15,991 "
COL,72.04%,754,"118,098,642",INVESCO LTD.,"469,893","63,624",164,"$15,991 "
COL,72.04%,754,"118,098,642",NORDEA INVESTMENT MANAGEMENT AB,"466,126","63,113",164,"$15,991 "
COO,99.81%,502,"48,930,591",VANGUARD GROUP INC,"5,035,323","1,160,491",49,"$11,277 "
COO,99.81%,502,"48,930,591",PRICE T ROWE ASSOCIATES INC /MD/,"4,311,392","993,647",49,"$11,277 "
COO,99.81%,502,"48,930,591",BLACKROCK INC.,"3,561,959","820,925",49,"$11,277 "
COO,99.81%,502,"48,930,591",MASSACHUSETTS FINANCIAL SERVICES CO /MA/,"2,676,876","616,940",49,"$11,277 "
COO,99.81%,502,"48,930,591",STATE STREET CORP,"2,350,829","541,796",49,"$11,277 "
COO,99.81%,502,"48,930,591",JANUS HENDERSON GROUP PLC,"2,185,268","503,639",49,"$11,277 "
COO,99.81%,502,"48,930,591",JANUS CAPITAL MANAGEMENT LLC,"1,743,182","401,751",49,"$11,277 "
COO,99.81%,502,"48,930,591",AMUNDI PIONEER ASSET MANAGEMENT INC,"1,252,938","288,765",49,"$11,277 "
COO,99.81%,502,"48,930,591",GENERATION INVESTMENT MANAGEMENT LLP,"1,250,232","288,141",49,"$11,277 "
COO,99.81%,502,"48,930,591",EGERTON CAPITAL (UK) LLP,"706,490","162,825",49,"$11,277 "
COO,99.81%,502,"48,930,591",FRONTIER CAPITAL MANAGEMENT CO LLC,"656,451","151,292",49,"$11,277 "
COO,99.81%,502,"48,930,591",WESTFIELD CAPITAL MANAGEMENT CO LP,"636,882","146,782",49,"$11,277 "
COO,99.81%,502,"48,930,591",NORTHERN TRUST CORP,"580,555","133,801",49,"$11,277 "
COO,99.81%,502,"48,930,591",GOLDMAN SACHS GROUP INC,"567,903","130,885",49,"$11,277 "
COO,99.81%,502,"48,930,591","GEODE CAPITAL MANAGEMENT, LLC","565,186","130,258",49,"$11,277 "
COO,99.81%,502,"48,930,591","WILLIAM BLAIR INVESTMENT MANAGEMENT, LLC","546,907","126,046",49,"$11,277 "
COO,99.81%,502,"48,930,591",PANAGORA ASSET MANAGEMENT INC,"513,523","118,352",49,"$11,277 "
COO,99.81%,502,"48,930,591",BESSEMER GROUP INC,"503,162","115,964",49,"$11,277 "
COO,99.81%,502,"48,930,591",UBS ASSET MANAGEMENT AMERICAS INC,"498,826","114,964",49,"$11,277 "
COO,99.81%,502,"48,930,591",BANK OF NEW YORK MELLON CORP,"449,550","103,608",49,"$11,277 "
COO,99.81%,502,"48,930,591",FMR LLC,"445,074","102,576",49,"$11,277 "
COO,99.81%,502,"48,930,591",SCHRODER INVESTMENT MANAGEMENT GROUP,"401,184","92,461",49,"$11,277 "
COO,99.81%,502,"48,930,591",WCM INVESTMENT MANAGEMENT/CA,"383,859","88,468",49,"$11,277 "
COO,99.81%,502,"48,930,591","CHAMPLAIN INVESTMENT PARTNERS, LLC","375,515","86,545",49,"$11,277 "
COO,99.81%,502,"48,930,591","ADAGE CAPITAL PARTNERS GP, L.L.C.","361,800","83,384",49,"$11,277 "
COO,99.81%,502,"48,930,591",CONGRESS ASSET MANAGEMENT CO /MA,"346,738","79,913",49,"$11,277 "
COO,99.81%,502,"48,930,591",HANDELSBANKEN FONDER AB,"300,400","69,233",49,"$11,277 "
COO,99.81%,502,"48,930,591",HERMES INVESTMENT MANAGEMENT LTD,"287,525","66,266",49,"$11,277 "
COO,99.81%,502,"48,930,591",AMERICAN CENTURY COMPANIES INC,"287,112","66,171",49,"$11,277 "
COO,99.81%,502,"48,930,591",DEUTSCHE BANK AG\,"283,041","65,232",49,"$11,277 "
COO,99.81%,502,"48,930,591",FIL LTD,"274,896","63,355",49,"$11,277 "
COO,99.81%,502,"48,930,591",LOS ANGELES CAPITAL MANAGEMENT & EQUITY RESEARCH INC,"273,031","62,925",49,"$11,277 "
COO,99.81%,502,"48,930,591",AMERIPRISE FINANCIAL INC,"270,235","62,281",49,"$11,277 "
COO,99.81%,502,"48,930,591",VICTORY CAPITAL MANAGEMENT INC,"254,988","58,767",49,"$11,277 "
COO,99.81%,502,"48,930,591",BAMCO INC /NY/,"254,341","58,618",49,"$11,277 "
COO,99.81%,502,"48,930,591",LEGAL & GENERAL GROUP PLC,"254,120","58,567",49,"$11,277 "
COO,99.81%,502,"48,930,591",INVESCO LTD.,"245,510","56,583",49,"$11,277 "
COO,99.81%,502,"48,930,591","MANUFACTURERS LIFE INSURANCE COMPANY, THE","242,936","55,989",49,"$11,277 "
COO,99.81%,502,"48,930,591",ARROWMARK COLORADO HOLDINGS LLC,"235,768","54,337",49,"$11,277 "
COO,99.81%,502,"48,930,591",FINDLAY PARK PARTNERS LLP,"235,387","54,250",49,"$11,277 "
COO,99.81%,502,"48,930,591",KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT LLC,"233,318","53,773",49,"$11,277 "
COO,99.81%,502,"48,930,591",NEW YORK STATE COMMON RETIREMENT FUND,"226,107","52,111",49,"$11,277 "
COO,99.81%,502,"48,930,591",SWISS NATIONAL BANK,"225,100","51,879",49,"$11,277 "
COO,99.81%,502,"48,930,591",EAGLE ASSET MANAGEMENT INC,"208,547","48,064",49,"$11,277 "
COO,99.81%,502,"48,930,591",RENAISSANCE TECHNOLOGIES LLC,"207,400","47,799",49,"$11,277 "
COP,71.16%,"1,398","837,652,939",VANGUARD GROUP INC,"90,178,179","5,016,612","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",BLACKROCK INC.,"86,605,578","4,817,868","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",STATE STREET CORP,"61,187,180","3,403,843","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",FMR LLC,"57,812,041","3,216,084","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",BARROW HANLEY MEWHINNEY & STRAUSS LLC,"29,009,451","1,613,796","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",CAPITAL WORLD INVESTORS,"28,032,054","1,559,423","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",JPMORGAN CHASE & CO,"18,591,900","1,034,267","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",WELLINGTON MANAGEMENT GROUP LLP,"17,832,739","992,035","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",NORTHERN TRUST CORP,"16,153,527","898,621","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",BANK OF NEW YORK MELLON CORP,"15,268,315","849,376","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",MACQUARIE GROUP LTD,"14,692,512","817,344","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",BANK OF AMERICA CORP /DE/,"13,210,006","734,873","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939","GEODE CAPITAL MANAGEMENT, LLC","12,751,000","709,338","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",FRANKLIN RESOURCES INC,"12,113,905","673,897","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",CAPITAL RESEARCH GLOBAL INVESTORS,"11,547,788","642,403","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939","FIRST EAGLE INVESTMENT MANAGEMENT, LLC","11,374,088","632,741","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",INVESCO LTD.,"10,379,102","577,389","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",GOLDMAN SACHS GROUP INC,"9,748,177","542,291","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",AMERIPRISE FINANCIAL INC,"8,805,037","489,824","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",DIMENSIONAL FUND ADVISORS LP,"8,555,478","475,941","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",BOSTON PARTNERS,"8,184,604","455,310","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",CAPITAL INTERNATIONAL INVESTORS,"7,726,502","429,825","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",LEGAL & GENERAL GROUP PLC,"6,980,059","388,301","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",MORGAN STANLEY,"6,615,003","367,993","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",SCHWAB CHARLES INVESTMENT MANAGEMENT INC,"6,413,675","356,793","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",MILLENNIUM MANAGEMENT LLC,"6,050,789","336,605","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",PUTNAM INVESTMENTS LLC,"5,289,980","294,282","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",BESSEMER GROUP INC,"4,927,160","274,098","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",WELLS FARGO & COMPANY/MN,"4,739,946","263,683","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",SWISS NATIONAL BANK,"4,489,199","249,734","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",UBS ASSET MANAGEMENT AMERICAS INC,"4,472,094","248,783","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",EATON VANCE MANAGEMENT,"4,386,605","244,027","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",LAZARD ASSET MANAGEMENT LLC,"4,174,510","232,228","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",APG ASSET MANAGEMENT N.V.,"3,999,668","222,502","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",ALLIANCEBERNSTEIN L.P.,"3,949,059","219,686","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",DEUTSCHE BANK AG\,"3,908,932","217,454","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939","SUMITOMO MITSUI TRUST HOLDINGS, INC.","3,772,368","209,857","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",NEW YORK STATE COMMON RETIREMENT FUND,"3,760,858","209,217","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,"3,530,936","196,426","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",PARAMETRIC PORTFOLIO ASSOCIATES LLC,"3,404,459","189,390","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939","LORD, ABBETT & CO. LLC","3,402,915","189,304","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939","BRANDYWINE GLOBAL INVESTMENT MANAGEMENT, LLC","3,099,880","172,446","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939",FAYEZ SAROFIM & CO,"3,004,517","167,141","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939","LETKO, BROSSEAU & ASSOCIATES INC","2,814,830","156,589","1,177","$46,599 "
COP,71.16%,"1,398","837,652,939","AJO, LP","2,798,402","155,675","1,177","$46,599 "
COST,73.29%,"1,472","321,829,888",VANGUARD GROUP INC,"34,388,915","6,299,705",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",BLACKROCK INC.,"27,560,905","5,048,882",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",STATE STREET CORP,"17,637,884","3,231,084",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",WELLINGTON MANAGEMENT GROUP LLP,"13,376,970","2,450,527",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",CAPITAL RESEARCH GLOBAL INVESTORS,"9,682,457","1,773,729",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",FMR LLC,"9,065,555","1,660,719",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",CAPITAL WORLD INVESTORS,"8,632,852","1,581,452",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",BANK OF AMERICA CORP /DE/,"7,170,982","1,313,652",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",BANK OF NEW YORK MELLON CORP,"6,805,874","1,246,768",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",JENNISON ASSOCIATES LLC,"6,611,043","1,211,077",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",NORTHERN TRUST CORP,"6,537,253","1,197,559",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",MAGELLAN ASSET MANAGEMENT LTD,"6,434,375","1,178,713",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",MORGAN STANLEY,"5,334,158","977,164",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",TIAA CREF INVESTMENT MANAGEMENT LLC,"5,301,797","971,236",439,"$58,956 "
COST,73.29%,"1,472","321,829,888","GEODE CAPITAL MANAGEMENT, LLC","4,885,496","894,974",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",JANUS CAPITAL MANAGEMENT LLC,"4,582,908","839,543",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",BERKSHIRE HATHAWAY INC,"4,333,363","793,829",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",ALLIANCEBERNSTEIN L.P.,"4,288,391","785,590",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",AMERIPRISE FINANCIAL INC,"4,236,144","776,019",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",WELLS FARGO & COMPANY/MN,"4,180,024","765,739",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",INVESCO LTD.,"3,841,262","703,681",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",JPMORGAN CHASE & CO,"3,744,417","685,940",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",ROYAL BANK OF CANADA,"3,333,463","610,657",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",JANUS HENDERSON GROUP PLC,"2,953,168","540,991",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",MASSACHUSETTS FINANCIAL SERVICES CO /MA/,"2,831,698","518,739",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",LEGAL & GENERAL GROUP PLC,"2,433,303","445,757",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",1832 ASSET MANAGEMENT L.P.,"2,363,140","432,904",439,"$58,956 "
COST,73.29%,"1,472","321,829,888","FISHER ASSET MANAGEMENT, LLC","2,326,481","426,188",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",GOLDMAN SACHS GROUP INC,"2,274,713","416,705",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",BROWN ADVISORY INC,"2,007,929","367,833",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",PRICE T ROWE ASSOCIATES INC /MD/,"1,928,437","353,270",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",AMERICAN CENTURY COMPANIES INC,"1,817,088","332,872",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",SCHWAB CHARLES INVESTMENT MANAGEMENT INC,"1,772,611","324,725",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",SWISS NATIONAL BANK,"1,669,408","305,819",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",BANK OF MONTREAL /CAN/,"1,535,340","281,259",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",UBS GROUP AG,"1,467,739","268,875",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",UBS ASSET MANAGEMENT AMERICAS INC,"1,453,750","266,312",439,"$58,956 "
COST,73.29%,"1,472","321,829,888","GRANTHAM, MAYO, VAN OTTERLOO & CO. LLC","1,392,591","255,109",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",DAVIS SELECTED ADVISERS,"1,386,367","253,969",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",NEW YORK STATE COMMON RETIREMENT FUND,"1,363,203","249,725",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",PARAMETRIC PORTFOLIO ASSOCIATES LLC,"1,326,644","243,028",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",PRINCIPAL FINANCIAL GROUP INC,"1,320,658","241,931",439,"$58,956 "
COST,73.29%,"1,472","321,829,888",NEUBERGER BERMAN GROUP LLC,"1,314,731","240,846",439,"$58,956 "
COST,73.29%,"1,472","321,829,888","TEACHERS ADVISORS, LLC","1,295,648","237,350",439,"$58,956 "
COST,73.29%,"1,472","321,829,888","SUMITOMO MITSUI TRUST HOLDINGS, INC.","1,284,061","235,227",439,"$58,956 "
COTY,68.24%,378,"511,425,170",MASSACHUSETTS FINANCIAL SERVICES CO /MA/,"107,758,555","1,883,620",749,"$8,940 "
COTY,68.24%,378,"511,425,170",FMR LLC,"58,182,820","1,017,036",749,"$8,940 "
COTY,68.24%,378,"511,425,170",VANGUARD GROUP INC,"47,735,644","834,419",749,"$8,940 "
COTY,68.24%,378,"511,425,170",WELLINGTON MANAGEMENT GROUP LLP,"39,729,434","694,471",749,"$8,940 "
COTY,68.24%,378,"511,425,170",BLACKROCK INC.,"28,658,022","500,942",749,"$8,940 "
COTY,68.24%,378,"511,425,170",FRANKLIN RESOURCES INC,"27,057,603","472,967",749,"$8,940 "
COTY,68.24%,378,"511,425,170",STATE STREET CORP,"19,491,314","340,708",749,"$8,940 "
COTY,68.24%,378,"511,425,170",BANK OF NEW YORK MELLON CORP,"16,633,859","290,760",749,"$8,940 "
COTY,68.24%,378,"511,425,170",JPMORGAN CHASE & CO,"16,242,224","283,914",749,"$8,940 "
COTY,68.24%,378,"511,425,170",PRICE T ROWE ASSOCIATES INC /MD/,"11,365,401","198,667",749,"$8,940 "
COTY,68.24%,378,"511,425,170",DIAMOND HILL CAPITAL MANAGEMENT INC,"9,808,419","171,451",749,"$8,940 "
COTY,68.24%,378,"511,425,170",GOLDMAN SACHS GROUP INC,"9,242,630","161,561",749,"$8,940 "
COTY,68.24%,378,"511,425,170",OZ MANAGEMENT LP,"6,051,412","105,779",749,"$8,940 "
COTY,68.24%,378,"511,425,170","MSD PARTNERS, L.P.","5,900,523","103,141",749,"$8,940 "
COTY,68.24%,378,"511,425,170",THUNDERBIRD PARTNERS LLP,"5,862,099","102,469",749,"$8,940 "
COTY,68.24%,378,"511,425,170",NORTHERN TRUST CORP,"5,490,847","95,980",749,"$8,940 "
COTY,68.24%,378,"511,425,170","GEODE CAPITAL MANAGEMENT, LLC","4,804,252","83,978",749,"$8,940 "
COTY,68.24%,378,"511,425,170",BANK OF AMERICA CORP /DE/,"4,450,726","77,799",749,"$8,940 "
COTY,68.24%,378,"511,425,170","IVORY INVESTMENT MANAGEMENT, LLC","4,131,865","72,225",749,"$8,940 "
COTY,68.24%,378,"511,425,170",LEGAL & GENERAL GROUP PLC,"3,682,570","64,371",749,"$8,940 "
COTY,68.24%,378,"511,425,170",DIMENSIONAL FUND ADVISORS LP,"3,558,468","62,202",749,"$8,940 "
COTY,68.24%,378,"511,425,170",PUTNAM INVESTMENTS LLC,"3,206,774","56,054",749,"$8,940 "
COTY,68.24%,378,"511,425,170","RIVER ROAD ASSET MANAGEMENT, LLC","3,005,461","52,535",749,"$8,940 "
COTY,68.24%,378,"511,425,170","YORK CAPITAL MANAGEMENT GLOBAL ADVISORS, LLC","2,990,410","52,272",749,"$8,940 "
COTY,68.24%,378,"511,425,170",GUGGENHEIM CAPITAL LLC,"2,733,093","47,774",749,"$8,940 "
COTY,68.24%,378,"511,425,170",CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,"2,281,935","39,888",749,"$8,940 "
COTY,68.24%,378,"511,425,170",MORGAN STANLEY,"2,080,586","36,369",749,"$8,940 "
COTY,68.24%,378,"511,425,170",DYNAMO INTERNACIONAL GESTAO DE RECURSOS LTDA.,"2,062,997","36,061",749,"$8,940 "
COTY,68.24%,378,"511,425,170",SWISS NATIONAL BANK,"1,790,248","31,294",749,"$8,940 "
COTY,68.24%,378,"511,425,170",DEUTSCHE BANK AG\,"1,758,209","30,733",749,"$8,940 "
COTY,68.24%,378,"511,425,170",SCHWAB CHARLES INVESTMENT MANAGEMENT INC,"1,719,454","30,056",749,"$8,940 "
COTY,68.24%,378,"511,425,170",RAYMOND JAMES & ASSOCIATES,"1,719,071","30,049",749,"$8,940 "
COTY,68.24%,378,"511,425,170",MILLENNIUM MANAGEMENT LLC,"1,603,995","28,038",749,"$8,940 "
COTY,68.24%,378,"511,425,170","SUMITOMO MITSUI TRUST HOLDINGS, INC.","1,445,814","25,273",749,"$8,940 "
COTY,68.24%,378,"511,425,170",CITADEL ADVISORS LLC,"1,363,144","23,828",749,"$8,940 "
COTY,68.24%,378,"511,425,170",UNITED SERVICES AUTOMOBILE ASSOCIATION,"1,318,975","23,056",749,"$8,940 "
COTY,68.24%,378,"511,425,170",CREDIT AGRICOLE S A,"1,310,903","22,915",749,"$8,940 "
COTY,68.24%,378,"511,425,170",WELLS FARGO & COMPANY/MN,"1,310,637","22,910",749,"$8,940 "
COTY,68.24%,378,"511,425,170",UBS ASSET MANAGEMENT AMERICAS INC,"1,299,488","22,715",749,"$8,940 "
COTY,68.24%,378,"511,425,170",INVESCO LTD.,"1,202,444","21,019",749,"$8,940 "
COTY,68.24%,378,"511,425,170",CAPITAL INTERNATIONAL INVESTORS,"1,144,257","20,002",749,"$8,940 "
COTY,68.24%,378,"511,425,170",TIAA CREF INVESTMENT MANAGEMENT LLC,"1,126,570","19,692",749,"$8,940 "
COTY,68.24%,378,"511,425,170",AMERIPRISE FINANCIAL INC,"1,108,615","19,379",749,"$8,940 "
COTY,68.24%,378,"511,425,170",NEW YORK STATE COMMON RETIREMENT FUND,"1,054,734","18,437",749,"$8,940 "
COTY,68.24%,378,"511,425,170",BARCLAYS PLC,"1,053,951","18,423",749,"$8,940 "
CPB,48.66%,607,"146,275,720",BLACKROCK INC.,"15,071,175","675,189",301,"$6,553 "
CPB,48.66%,607,"146,275,720",VANGUARD GROUP INC,"13,922,595","623,732",301,"$6,553 "
CPB,48.66%,607,"146,275,720",STATE STREET CORP,"8,360,121","374,533",301,"$6,553 "
CPB,48.66%,607,"146,275,720",INVESCO LTD.,"7,687,781","344,413",301,"$6,553 "
CPB,48.66%,607,"146,275,720",BANK OF NEW YORK MELLON CORP,"6,493,192","290,895",301,"$6,553 "
CPB,48.66%,607,"146,275,720",WELLINGTON MANAGEMENT GROUP LLP,"4,218,147","188,973",301,"$6,553 "
CPB,48.66%,607,"146,275,720",STATE FARM MUTUAL AUTOMOBILE INSURANCE CO,"3,894,000","174,451",301,"$6,553 "
CPB,48.66%,607,"146,275,720",APG ASSET MANAGEMENT N.V.,"3,808,869","170,637",301,"$6,553 "
CPB,48.66%,607,"146,275,720","BRANDYWINE MANAGERS, LLC","3,709,014","166,164",301,"$6,553 "
CPB,48.66%,607,"146,275,720",SCHRODER INVESTMENT MANAGEMENT GROUP,"3,560,628","159,516",301,"$6,553 "
CPB,48.66%,607,"146,275,720",BESSEMER GROUP INC,"3,443,214","154,256",301,"$6,553 "
CPB,48.66%,607,"146,275,720",NORTHERN TRUST CORP,"3,146,833","140,978",301,"$6,553 "
CPB,48.66%,607,"146,275,720",LSV ASSET MANAGEMENT,"3,095,193","138,665",301,"$6,553 "
CPB,48.66%,607,"146,275,720","BEUTEL, GOODMAN & CO LTD.","2,698,977","120,914",301,"$6,553 "
CPB,48.66%,607,"146,275,720","PNC FINANCIAL SERVICES GROUP, INC.","2,483,318","111,253",301,"$6,553 "
CPB,48.66%,607,"146,275,720","GEODE CAPITAL MANAGEMENT, LLC","2,452,045","109,852",301,"$6,553 "
CPB,48.66%,607,"146,275,720",FMR LLC,"2,119,857","94,970",301,"$6,553 "
CPB,48.66%,607,"146,275,720",RENAISSANCE TECHNOLOGIES LLC,"2,092,500","93,744",301,"$6,553 "
CPB,48.66%,607,"146,275,720",AQR CAPITAL MANAGEMENT LLC,"1,364,292","61,120",301,"$6,553 "
CPB,48.66%,607,"146,275,720","MANNING & NAPIER GROUP, LLC","1,243,174","55,694",301,"$6,553 "
CPB,48.66%,607,"146,275,720",MANNING & NAPIER ADVISORS LLC,"1,201,707","53,836",301,"$6,553 "
CPB,48.66%,607,"146,275,720",SWISS NATIONAL BANK,"1,152,553","51,634",301,"$6,553 "
CPB,48.66%,607,"146,275,720","TWO SIGMA ADVISERS, LP","1,125,619","50,428",301,"$6,553 "
CPB,48.66%,607,"146,275,720",ALLIANCEBERNSTEIN L.P.,"1,108,525","49,662",301,"$6,553 "
CPB,48.66%,607,"146,275,720","TWO SIGMA INVESTMENTS, LP","1,091,663","48,907",301,"$6,553 "
CPB,48.66%,607,"146,275,720",LEGAL & GENERAL GROUP PLC,"1,070,714","47,968",301,"$6,553 "
CPB,48.66%,607,"146,275,720",DIMENSIONAL FUND ADVISORS LP,"1,012,099","45,342",301,"$6,553 "
CPB,48.66%,607,"146,275,720",GUGGENHEIM CAPITAL LLC,"975,264","43,692",301,"$6,553 "
CPB,48.66%,607,"146,275,720",UBS ASSET MANAGEMENT AMERICAS INC,"970,287","43,469",301,"$6,553 "
CPB,48.66%,607,"146,275,720",GOLDMAN SACHS GROUP INC,"961,793","43,088",301,"$6,553 "
CPB,48.66%,607,"146,275,720",DEUTSCHE BANK AG\,"960,435","43,027",301,"$6,553 "
CPB,48.66%,607,"146,275,720",TIAA CREF INVESTMENT MANAGEMENT LLC,"953,573","42,720",301,"$6,553 "
CPB,48.66%,607,"146,275,720",AMERICAN CENTURY COMPANIES INC,"894,693","40,082",301,"$6,553 "
CPB,48.66%,607,"146,275,720",BANK OF AMERICA CORP /DE/,"881,777","39,504",301,"$6,553 "
CPB,48.66%,607,"146,275,720",SCHWAB CHARLES INVESTMENT MANAGEMENT INC,"826,095","37,009",301,"$6,553 "
CPB,48.66%,607,"146,275,720",TOBAM,"747,480","33,487",301,"$6,553 "
CPB,48.66%,607,"146,275,720",HEXAVEST INC.,"733,675","32,869",301,"$6,553 "
CPB,48.66%,607,"146,275,720",MILLENNIUM MANAGEMENT LLC,"701,996","31,449",301,"$6,553 "
CPB,48.66%,607,"146,275,720",GLENMEDE TRUST CO NA,"621,365","27,837",301,"$6,553 "
CPB,48.66%,607,"146,275,720",AXA,"620,342","27,791",301,"$6,553 "
CPB,48.66%,607,"146,275,720",TD ASSET MANAGEMENT INC,"574,971","25,759",301,"$6,553 "
CPB,48.66%,607,"146,275,720",SOROS FUND MANAGEMENT LLC,"571,416","25,599",301,"$6,553 "
CPB,48.66%,607,"146,275,720","SUMITOMO MITSUI TRUST HOLDINGS, INC.","567,609","25,429",301,"$6,553 "
CPB,48.66%,607,"146,275,720",PGGM INVESTMENTS,"562,000","25,178",301,"$6,553 "
CPB,48.66%,607,"146,275,720",CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,"557,799","24,989",301,"$6,553 "
