Ticker,Price/Earnings,Price/Earnings_ind,Price/Earnings_sp,Price/Earnings_5yavg,Price/Book,Price/Book_ind,Price/Book_sp,Price/Book_5yavg,Price/Sales,Price/Sales_ind,Price/Sales_sp,Price/Sales_5yavg,Price/Cash Flow,Price/Cash Flow_ind,Price/Cash Flow_sp,Price/Cash Flow_3yavg,Dividend Yield %,Dividend Yield %_ind,Dividend Yield %_sp,Dividend Yield %_5yavg,PEG Ratio
EIX,13.6,19.6,24,17.3,1.5,1.5,3.4,1.9,1.6,1.8,2.4,1.7,5.6,Ñ,15,6.2,3.8,3.5,1.8,2.9,1.5
EW,36.8,43.7,24,30,8.4,3.8,3.4,6.9,8.3,4.4,2.4,6.3,32.6,25.8,15,31.7,Ñ,1.1,1.8,Ñ,8.4
EA,37.7,46.3,24,87.7,9.1,6.4,3.4,5.7,7.4,6.5,2.4,4.3,28.6,27.7,15,21.9,Ñ,0.2,1.8,Ñ,9.1
LLY,36.3,23.6,24,27.8,5.6,4.3,3.4,5.1,3.6,4,2.4,3.6,13.7,16.5,15,22.1,2.7,3.3,1.8,2.9,5.6
EMR,26.7,24.1,24,20.5,5.3,3.8,3.4,4.3,2.8,2,2.4,1.9,20.9,19.7,15,14,2.8,2.4,1.8,3.1,5.3
ETR,Ñ,751.7,24,18.5,1.5,1.7,3.4,1.4,1.2,1.5,2.4,1.2,5.4,5.7,15,4.2,4.8,4.2,1.8,4.6,1.5
EVHC,Ñ,27.3,24,28.9,0.7,3.8,3.4,1.9,0.6,0.8,2.4,1.3,6.4,8.2,15,7.4,Ñ,0.4,1.8,Ñ,0.7
EOG,5003.5,Ñ,24,313.2,4.2,1.8,3.4,3.4,5.6,2.9,2.4,4.4,15.4,8.3,15,13.8,0.7,1.7,1.8,0.6,4.2
EQT,240.7,Ñ,24,195.3,2,1.8,3.4,2.6,3,2.9,2.4,5.6,5.3,8.3,15,8.8,0.3,1.7,1.8,0.2,2
EFX,25.3,38,24,29.4,4.3,5.2,3.4,4.8,4.1,2.3,2.4,4.4,15.8,15.8,15,19.1,1.4,1.1,1.8,1.2,4.3
EQIX,138.3,24.1,24,167.8,5.1,2,3.4,5.7,7.8,5.7,2.4,6.1,26,8.7,15,23.8,1.9,5.3,1.8,Ñ,5.1
EQR,27.6,23.7,24,81,2,1.9,3.4,2.3,8.9,7.2,2.4,9.6,17.3,15.4,15,21.4,3.6,4.4,1.8,3.1,2
ESS,28.6,23.7,24,60.4,2.4,1.9,3.4,2.9,11.1,7.2,2.4,11.6,19.9,15.4,15,23.1,3.1,4.4,1.8,2.8,2.4
EL,47,23.7,24,28.6,10.9,6,3.4,8.3,4,2.5,2.4,2.9,20.8,15.8,15,19.1,1,2.8,1.8,1.2,10.9
RE,37.1,42.8,24,8.8,1.2,1.2,3.4,1.1,1.5,1.3,2.4,1.4,6.7,7.3,15,6.4,2.1,1.3,1.8,2,1.2
ES,18.5,19.6,24,19.4,1.6,1.5,3.4,1.6,2.4,1.8,2.4,2.1,9,Ñ,15,10.2,3.3,3.5,1.8,3.2,1.6
EXC,16.5,751.7,24,18.6,1.3,1.7,3.4,1.2,1,1.5,2.4,1.1,5.1,5.7,15,4.4,3.6,4.2,1.8,4,1.3
EXPE,40.5,26.9,24,46,3.4,3.1,3.4,5,1.7,2.9,2.4,2.2,8.4,13.2,15,10.8,1.1,1.3,1.8,0.8,3.4
EXPD,25.5,25.4,24,23.6,5.4,7,3.4,4.7,1.7,1.2,2.4,1.5,25.4,16.9,15,19.7,1.4,1.9,1.8,1.4,5.4
ESRX,11.9,20.5,24,24.9,2.6,3.3,3.4,2.7,0.4,0.7,2.4,0.5,6.8,10.8,15,10.3,Ñ,1.2,1.8,Ñ,2.6
EXR,29.3,21.7,24,36.9,4.6,2.9,3.4,4.1,9.4,10,2.4,11.4,16.9,16.5,15,23.5,3.9,3.9,1.8,3.3,4.6
XOM,24.7,25.1,24,19.9,1.8,1.3,3.4,2.2,1.3,0.8,2.4,1.1,10.7,0.1,15,12.4,4.1,4.2,1.8,3.2,1.8
FFIV,21.4,45.5,24,25.2,7,6.5,3.4,6,4.2,6,2.4,4.7,12,16.2,15,12.5,Ñ,1.5,1.8,Ñ,7
FB,32.7,47.1,24,283.1,6.9,5.9,3.4,7.7,12.8,6.1,2.4,16.6,21.5,12.3,15,33,Ñ,Ñ,1.8,Ñ,6.9
FAST,26.6,23,24,27.8,7.3,4.5,3.4,7.3,3.5,1,2.4,3.7,26.3,18.4,15,23.9,2.5,1.5,1.8,2.3,7.3
FRT,34.8,30.3,24,52.5,3.9,2.6,3.4,5.5,9.5,7,2.4,12.4,17,13,15,25.6,3.6,5,1.8,2.7,3.9
FDX,21.7,25.4,24,26.9,3.7,7,3.4,2.9,1,1.2,2.4,0.9,16.8,16.9,15,9.6,0.8,1.9,1.8,0.6,3.7
FIS,58.7,38,24,34.2,3.2,5.2,3.4,2.6,3.4,2.3,2.4,2.8,19.1,15.8,15,16.1,1.2,1.1,1.8,1.5,3.2
FITB,12.1,19,24,11.2,1.5,1.7,3.4,1.2,3.4,4.4,2.4,2.7,11.2,11.9,15,8.1,1.9,1.8,1.8,2.3,1.5
FE,Ñ,751.7,24,42.6,2.2,1.7,3.4,1.4,1,1.5,2.4,1,3.9,5.7,15,4.2,4.6,4.2,1.8,4.9,2.2
FISV,32.7,38,24,26.5,12.2,5.2,3.4,6.6,5.3,2.3,2.4,3.9,21.3,15.8,15,17.2,Ñ,1.1,1.8,Ñ,12.2
FLIR,30,33.6,24,23.5,3.4,4.4,3.4,2.7,3.7,3.1,2.4,3,21.8,21.7,15,17.4,1.3,0.6,1.8,1.3,3.4
FLS,29.2,24.1,24,24.8,3,3.8,3.4,4.1,1.4,2,2.4,1.7,23.1,19.7,15,16.7,1.9,2.4,1.8,1.4,3
FLR,38.5,34.3,24,22.6,2.3,1.9,3.4,2.6,0.4,0.6,2.4,0.4,9.6,14.5,15,10.8,1.5,1.4,1.8,1.4,2.3
FMC,39,38.5,24,47.2,5.2,3.5,3.4,4.8,3.4,2.9,2.4,2.3,26.1,14.7,15,57.9,0.8,2.1,1.8,1.1,5.2
FL,11.7,28.5,24,15.1,2.1,6,3.4,2.9,0.8,2.2,2.4,1.1,7.3,21,15,11.8,2.7,1.1,1.8,1.8,2.1
F,5.5,13.2,24,10.9,1.2,1.5,3.4,2.3,0.3,0.6,2.4,0.4,2.3,0.1,15,3.1,5.7,2.3,1.8,4,1.2
FTV,27.3,33.6,24,Ñ,7.3,4.4,3.4,Ñ,3.9,3.1,2.4,Ñ,24.7,21.7,15,Ñ,0.4,0.6,1.8,Ñ,7.3
FBHS,21.4,19.3,24,31.1,3.7,3.3,3.4,3.3,1.9,1.1,2.4,1.8,15.5,11.2,15,20.3,1.2,1.1,1.8,1,3.7
BEN,32.4,19.9,24,14.1,1.8,1.7,3.4,2.5,3.3,3.6,2.4,3.7,21,27.1,15,13.1,2.2,2.7,1.8,1.4,1.8
FCX,21.7,28.5,24,13.8,3.6,2.9,3.4,2.1,1.6,2.9,2.4,1.2,6.1,11,15,4,Ñ,0.7,1.8,Ñ,3.6
GPS,14.9,25.9,24,13.9,4.2,5.9,3.4,4.8,0.8,1.1,2.4,0.9,8.5,11.3,15,6.9,2.9,1.9,1.8,2.8,4.2
GRMN,16.7,33.6,24,18.6,3.2,4.4,3.4,2.6,3.8,3.1,2.4,3.2,17.1,21.7,15,19.1,3.3,0.6,1.8,4.1,3.2
IT,Ñ,20.6,24,50.1,12.1,5.5,3.4,39,3.3,1.8,2.4,3.6,31.7,3.2,15,25.1,Ñ,2,1.8,Ñ,12.1
GD,20,26.9,24,17.2,5.5,7.5,3.4,3.8,2.1,1.9,2.4,1.4,24,17.4,15,21.3,1.6,1.6,1.8,1.9,5.5
GE,17.4,24.1,24,43.8,1.7,3.8,3.4,2.5,1.1,2,2.4,1.9,25.6,19.7,15,27.3,5.6,2.4,1.8,3.4,1.7
GIS,20,24.3,24,21.5,7.4,2.5,3.4,6.3,2.1,1.7,2.4,2,11.5,15.5,15,14.2,3.6,2.4,1.8,3,7.4
GPC,21.7,64.1,24,19.7,4.2,11.1,3.4,4.1,0.9,2.9,2.4,0.9,19.3,8.4,15,14.9,2.8,0.1,1.8,2.6,4.2
GGP,30.8,30.3,24,50,2.6,2.6,3.4,2.8,9.1,7,2.4,9.4,16.8,13,15,23.9,4,5,1.8,2.9,2.6
GILD,9,75.9,24,18.2,4.2,7.1,3.4,8,3.8,6.6,2.4,6.6,8.5,13,15,8.2,2.6,0.8,1.8,Ñ,4.2
GPN,63.4,38,24,31.4,4.7,5.2,3.4,6,4.6,2.3,2.4,2.7,46.4,15.8,15,80.8,Ñ,1.1,1.8,0.1,4.7
GM,188.5,13.2,24,12,1.7,1.5,3.4,1.4,0.4,0.6,2.4,0.4,3.6,0.1,15,4.4,3.7,2.3,1.8,Ñ,1.7
GS,13,18,24,12.3,1.3,2.2,3.4,1.1,3.2,2.8,2.4,2.6,Ñ,Ñ,15,15.7,1.2,1.5,1.8,1.2,1.3
GT,21.9,16.5,24,13.8,1.6,2.2,3.4,9.9,0.5,0.7,2.4,0.4,6.6,8.4,15,7.5,1.6,1.5,1.8,0.8,1.6
GOOGL,58.1,47.1,24,30.4,4.8,5.9,3.4,4.1,6.6,6.1,2.4,6.3,19.8,12.3,15,18.2,Ñ,Ñ,1.8,Ñ,4.8
GOOG,57.7,47.1,24,Ñ,4.7,5.9,3.4,Ñ,6.6,6.1,2.4,Ñ,19.7,12.3,15,17.7,Ñ,Ñ,1.8,Ñ,4.7
HRB,13.5,26.3,24,18.7,Ñ,11.3,3.4,22.3,1.7,2,2.4,2.5,8.4,14.1,15,12.4,3.8,1.3,1.8,3,Ñ
HAL,187.1,Ñ,24,36.3,4.4,2,3.4,3.2,2.2,1.9,2.4,1.7,16.1,18.5,15,11.6,1.5,1.9,1.8,1.5,4.4
HBI,11.9,36,24,23.1,5.7,3.7,3.4,7.5,1.1,1.7,2.4,1.7,9.9,14.4,15,31.2,3.1,1.3,1.8,1.6,5.7
HOG,14.8,24.4,24,16.2,4.3,5.5,3.4,4.5,1.5,1.2,2.4,2,7,12.2,15,9.3,3.1,1.7,1.8,2.2,4.3
HRS,29.5,34,24,30.8,6.1,2.4,3.4,4,3.1,2,2.4,1.6,28.9,7.3,15,13.8,1.4,2.2,1.8,2.1,6.1
HIG,39.7,26.8,24,22.1,1.1,1.3,3.4,0.9,1.1,1.5,2.4,0.9,9.3,13.4,15,8.8,1.7,0.5,1.8,1.6,1.1
HAS,20.9,26.9,24,21.3,6.2,3.1,3.4,5.4,2.4,2.9,2.4,2,15.9,13.2,15,17.3,2.3,1.3,1.8,2.7,6.2
HCA,14,27.3,24,14.4,Ñ,3.8,3.4,Ñ,0.9,0.8,2.4,0.8,6.8,8.2,15,6.4,Ñ,0.4,1.8,Ñ,Ñ
HCP,19.8,26,24,29.3,2,1.6,3.4,1.9,5.6,5.2,2.4,7.9,12.7,13.5,15,13.4,6.4,6.6,1.8,5.9,2
HP,17.3,Ñ,24,16.8,1.5,0.5,3.4,1.6,3.5,1.7,2.4,2.9,19.5,6.2,15,8.7,4.4,1.4,1.8,3.7,1.5
HSIC,20.6,10.1,24,25.1,3.7,3.5,3.4,4.1,0.9,0.2,2.4,1.1,21,11.4,15,22.2,Ñ,1.5,1.8,Ñ,3.7
HSY,29.8,28.7,24,31.2,25.5,3.2,3.4,20.2,2.8,2.5,2.4,3,18.4,22.9,15,21.5,2.6,2.1,1.8,2.2,25.5
HES,Ñ,Ñ,24,10.9,1,1.8,3.4,1,2.5,2.9,2.4,1.8,14.3,8.3,15,10.2,2.4,1.7,1.8,1.6,1
HPE,58.8,34,24,Ñ,1,2.4,3.4,Ñ,0.9,2,2.4,Ñ,28.8,7.3,15,Ñ,1.8,2.2,1.8,Ñ,1
HPQ,13.6,21.5,24,10.5,Ñ,24.5,3.4,1.9,0.7,1.1,2.4,0.5,9.3,13.8,15,6.5,2.7,1.5,1.8,3,Ñ
HLT,67.6,43.9,24,Ñ,17.8,8.8,3.4,Ñ,2,2.5,2.4,Ñ,25.7,14.6,15,17.4,0.8,1.1,1.8,Ñ,17.8
HOLX,10,62,24,83.7,3.3,4.5,3.4,3.9,3.5,4.5,2.4,3.4,1378.3,26.5,15,86.3,Ñ,0.6,1.8,Ñ,3.3
HD,25.5,24.7,24,23.1,84.5,28.9,3.4,21,2.2,1.8,2.4,1.7,19,17.2,15,17.7,1.9,1.8,1.8,1.9,84.5
HON,22.4,24.1,24,19.4,5.3,3.8,3.4,4.6,2.9,2,2.4,2.1,19.6,19.7,15,16.9,1.9,2.4,1.8,1.9,5.3
HRL,20.9,24.3,24,23.7,3.5,2.5,3.4,4,1.9,1.7,2.4,1.7,17.5,15.5,15,20.3,2.1,2.4,1.8,1.6,3.5
HST,24.1,13.2,24,155.6,2,1.5,3.4,2,2.7,2.7,2.4,2.6,11.5,10.8,15,11.3,4.1,5.4,1.8,3.8,2
HUM,20.8,20.5,24,20.4,3.3,3.3,3.4,2.3,0.7,0.7,2.4,0.5,9.4,10.8,15,20,0.6,1.2,1.8,0.7,3.3
HBAN,18.6,19,24,14.2,1.7,1.7,3.4,1.4,4,4.4,2.4,3,10.4,11.9,15,10.1,2.3,1.8,1.8,2.2,1.7
HII,17.4,26.9,24,17.4,6.1,7.5,3.4,4.4,1.4,1.9,2.4,0.9,14.6,17.4,15,9.4,1.1,1.6,1.8,1,6.1
IBM,12.5,20.6,24,12.1,7.1,5.5,3.4,10.2,1.8,1.8,2.4,1.9,9.5,3.2,15,8.8,4,2,1.8,3.1,7.1
IDXX,56.2,44.6,24,40.9,Ñ,3.6,3.4,109.8,8.2,3.3,2.4,5.3,44.6,23.4,15,37.2,Ñ,0.4,1.8,Ñ,Ñ
INFO,44.3,38,24,56.6,2.2,5.2,3.4,3.7,5.1,2.3,2.4,4.3,19.2,15.8,15,16.5,Ñ,1.1,1.8,Ñ,2.2
ITW,24.6,24.1,24,19.7,10.9,3.8,3.4,6.2,4,2,2.4,2.7,23.5,19.7,15,20,1.8,2.4,1.8,1.9,10.9
ILMN,41.4,62,24,75.3,11.1,4.5,3.4,12.5,12.4,4.5,2.4,11.8,42.8,26.5,15,42.9,Ñ,0.6,1.8,Ñ,11.1
INCY,Ñ,75.9,24,755.8,10.1,7.1,3.4,124.2,11.9,6.6,2.4,20.6,187,13,15,252.9,Ñ,0.8,1.8,Ñ,10.1
IR,22.4,24.1,24,20.6,3.3,3.8,3.4,2.7,1.7,2,2.4,1.4,18.5,19.7,15,17,1.9,2.4,1.8,1.8,3.3
INTC,15.4,30.2,24,14.4,2.9,4.3,3.4,2.5,3.4,4.5,2.4,2.8,9.3,1.6,15,8.3,2.5,2,1.8,2.8,2.9
ICE,16.2,26.5,24,31.2,2.4,2.7,3.4,2.5,7,7.8,2.4,7.1,19.5,23.4,15,18.9,1.2,1.5,1.8,1,2.4
IFF,26.9,21.5,24,23.7,6.3,5.4,3.4,5.7,3.4,1.9,2.4,2.9,28.4,14.6,15,21.4,1.9,1.6,1.8,1.8,6.3
IP,26.4,17.1,24,23.6,4.8,4.2,3.4,3.8,1.1,1,2.4,0.8,16.1,10.1,15,7.9,3.3,2.1,1.8,3.2,4.8
IPG,15.1,15,24,19.2,4.2,3,3.4,4,1.1,1.1,2.4,1.1,21.7,14.1,15,13.3,3.3,3.7,1.8,2.3,4.2
INTU,41.7,115.5,24,39.8,33.4,6.9,3.4,17.2,7.7,5.9,2.4,6,23.7,17.8,15,20.6,0.9,0.4,1.8,1,33.4
ISRG,69.3,43.7,24,36.6,9.3,3.8,3.4,5.5,14.6,4.4,2.4,9.5,39.9,25.8,15,30.5,Ñ,1.1,1.8,Ñ,9.3
IVZ,14,19.9,24,16.8,1.6,1.7,3.4,1.8,2.6,3.6,2.4,3,23,27.1,15,21.1,3.6,2.7,1.8,3,1.6
IQV,Ñ,44.6,24,Ñ,2.8,3.6,3.4,Ñ,2.3,3.3,2.4,Ñ,18.7,23.4,15,18.1,Ñ,0.4,1.8,Ñ,2.8
IRM,40.9,38,24,56.5,5,5.2,3.4,7.8,2.3,2.3,2.4,2.2,13.7,15.8,15,14.3,6.8,1.1,1.8,5.3,5
JBHT,30.7,25.4,24,25.2,8.6,7,3.4,8,1.9,1.2,2.4,1.6,16.1,16.9,15,12.3,0.8,1.9,1.8,0.9,8.6
SJM,24.1,24.3,24,24.3,1.9,2.5,3.4,2.1,1.9,1.7,2.4,2,12.2,15.5,15,12.7,2.6,2.4,1.8,2.3,1.9
JEC,32.1,34.3,24,21.8,1.5,1.9,3.4,1.5,0.7,0.6,2.4,0.6,14.7,14.5,15,10.5,1,1.4,1.8,Ñ,1.5
JNJ,22.5,23.6,24,20.2,4.7,4.3,3.4,4.1,4.8,4,2.4,4.2,16.5,16.5,15,17.3,2.6,3.3,1.8,2.7,4.7
JPM,15.9,16.9,24,12.1,1.6,1.2,3.4,1.1,4,3,2.4,2.6,17.2,7,15,21.4,1.9,2.9,1.8,2.3,1.6
JNPR,15.2,34,24,25.2,1.8,2.4,3.4,1.9,1.9,2,2.4,2.3,7.2,7.3,15,11.1,1.6,2.2,1.8,Ñ,1.8
KSU,11.3,13,24,25.4,2.4,3.6,3.4,3,4.2,3.9,2.4,4.6,10.6,10.9,15,11.3,1.3,1.7,1.8,1.3,2.4
K,30.1,24.3,24,33.5,12.1,2.5,3.4,9.8,1.8,1.7,2.4,1.7,13.7,15.5,15,15,3.2,2.4,1.8,2.9,12.1
KEY,17.7,19,24,14.6,1.5,1.7,3.4,1.2,3.6,4.4,2.4,2.8,11.6,11.9,15,29.6,1.9,1.8,1.8,1.9,1.5
KMB,18.4,23.7,24,29,150.9,6,3.4,169.8,2.2,2.5,2.4,2.2,13.6,15.8,15,16.1,3.5,2.8,1.8,3,150.9
KIM,15.9,30.3,24,37.1,1.2,2.6,3.4,2,5.1,7,2.4,9.2,9.4,13,15,18.5,7.7,5,1.8,4.4,1.2
KMI,30.8,32.1,24,155.6,1.1,2.2,3.4,2.3,2.9,1.8,2.4,3.4,8.4,8.9,15,9.4,2.9,6.1,1.8,5.3,1.1
KLAC,24.3,23.3,24,19.5,12.9,5.6,3.4,12.5,4.2,4.4,2.4,3.8,13.4,19.4,15,15.6,2.2,0.8,1.8,2.6,12.9
KSS,16.4,59.1,24,13.3,2.1,2.7,3.4,1.7,0.6,0.3,2.4,0.5,6,6.1,15,5.2,3.6,3.3,1.8,3.4,2.1
KHC,22.3,24.3,24,Ñ,1.5,2.5,3.4,Ñ,3.3,1.7,2.4,Ñ,20.7,15.5,15,Ñ,3.4,2.4,1.8,Ñ,1.5
KR,16.5,13.5,24,16.6,3.9,3.2,3.4,4.9,0.2,0.2,2.4,0.3,6.6,6.8,15,7.2,1.8,1.5,1.8,1.3,3.9
LB,14.8,25.9,24,19.7,Ñ,5.9,3.4,1472.1,1.1,1.1,2.4,1.7,8.7,11.3,15,11.9,4.9,1.9,1.8,2.6,Ñ
LLL,27.9,26.9,24,23,3.2,7.5,3.4,2,1.5,1.9,2.4,0.9,14.3,17.4,15,10.8,1.5,1.6,1.8,1.9,3.2
LH,23.4,44.6,24,20.1,2.8,3.6,3.4,2.9,1.7,3.3,2.4,1.6,13,23.4,15,13.5,Ñ,0.4,1.8,Ñ,2.8
LRCX,18.2,23.3,24,36.9,4.4,5.6,3.4,2.5,3.2,4.4,2.4,2.8,15,19.4,15,14.6,1.1,0.8,1.8,Ñ,4.4
LEG,17.9,19.3,24,23.1,5,3.3,3.4,4.8,1.6,1.1,2.4,1.6,14.3,11.2,15,15.2,3.2,1.1,1.8,3.1,5
LEN,17.4,18.9,24,15.4,1.8,2,3.4,1.9,1.1,1,2.4,1.3,14,16.5,15,32.3,0.3,0.6,1.8,0.3,1.8
LUK,15.7,24.3,24,45.1,0.8,2.5,3.4,0.9,0.7,1.7,2.4,0.7,7,15.5,15,31,1.3,2.4,1.8,1.2,0.8
LNC,11.7,20.3,24,10.3,1,1.3,3.4,0.9,1.2,1,2.4,1,14.3,1,15,8.8,1.6,1.8,1.8,1.3,1
LKQ,23.7,14.6,24,24.2,3,3.2,3.4,3.2,1.3,0.8,2.4,1.4,21.6,10.1,15,18.1,Ñ,1.1,1.8,Ñ,3
LMT,51.4,26.9,24,18.4,Ñ,7.5,3.4,79.6,1.9,1.9,2.4,1.3,15.3,17.4,15,16.6,2.2,1.6,1.8,2.8,Ñ
L,16.3,22.4,24,55.4,0.8,1.4,3.4,0.8,1.2,1.3,2.4,1.1,6.7,10.2,15,5.4,0.5,1.7,1.8,0.6,0.8
LOW,23.4,24.7,24,24.3,14,28.9,3.4,7,1.2,1.8,2.4,1.1,14.4,17.2,15,13.1,1.6,1.8,1.8,1.5,14
LYB,11.4,21.5,24,11,5.8,5.4,3.4,4.8,1.3,1.9,2.4,1.1,7.9,14.6,15,7,3.3,1.6,1.8,3.3,5.8
MTB,21.1,19,24,16.3,1.8,1.7,3.4,1.5,5.1,4.4,2.4,3.8,12.9,11.9,15,12.9,1.6,1.8,1.8,2.1,1.8
MAC,57,30.3,24,40.1,2.3,2.6,3.4,2.6,8.5,7,2.4,9.3,22.3,13,15,24.5,4.8,5,1.8,3.7,2.3
M,10.7,59.1,24,13.7,1.7,2.7,3.4,3,0.3,0.3,2.4,0.6,3.9,6.1,15,6.2,6.3,3.3,1.8,3.5,1.7
MRO,Ñ,Ñ,24,19.2,1.1,1.8,3.4,0.9,2.5,2.9,2.4,1.8,6.5,8.3,15,6.7,1.3,1.7,1.8,2.5,1.1
MPC,20.2,23.6,24,13.6,2.4,2.1,3.4,2.1,0.5,0.4,2.4,0.3,6.9,6.9,15,6.9,2.4,3.3,1.8,2.2,2.4
MAR,37.2,43.9,24,27.5,11,8.8,3.4,7.3,2.3,2.5,2.4,1.4,23,14.6,15,16.2,1,1.1,1.8,1.2,11
MMC,22,24,24,20.5,5.8,4.1,3.4,4.4,3.1,2.8,2.4,2.4,20.6,21.6,15,17.5,1.8,1.6,1.8,1.9,5.8
MLM,31.3,27.3,24,42,3.1,3,3.4,3.1,3.4,1.5,2.4,2.9,20.1,15.4,15,20.5,0.8,0.9,1.8,1.1,3.1
MAS,25.4,27.3,24,28.4,Ñ,3,3.4,15.4,1.8,1.5,2.4,1.2,17.8,15.4,15,15.6,1,0.9,1.8,1.2,Ñ
MA,38.5,25.3,24,28.9,27,4.2,3.4,17,14.9,4.2,2.4,11,37.7,1.5,15,28.7,0.6,0.8,1.8,0.5,27
MAT,Ñ,26.9,24,22,4.1,3.1,3.4,4,1.2,2.9,2.4,1.8,32,13.2,15,15.2,5.3,1.3,1.8,5.5,4.1
MKC,29.5,24.3,24,27.1,5.2,2.5,3.4,5.9,2.7,1.7,2.4,2.5,16,15.5,15,20.2,1.9,2.4,1.8,1.9,5.2
MCD,23.3,23.1,24,21.3,Ñ,29.9,3.4,18.4,5.6,2.7,2.4,4,25.1,18.3,15,17.7,2.4,1.9,1.8,3,Ñ
MCK,6.8,10.1,24,21.8,2.6,3.5,3.4,4.4,0.2,0.2,2.4,0.2,11.4,11.4,15,10.9,0.8,1.5,1.8,0.6,2.6
MDT,21.8,43.7,24,26.9,2.1,3.8,3.4,2.8,3.7,4.4,2.4,3.8,19.9,25.8,15,18.4,2.3,1.1,1.8,2,2.1
MRK,52.8,23.6,24,30,3.9,4.3,3.4,3.5,3.8,4,2.4,3.9,25,16.5,15,18.1,3.4,3.3,1.8,3.3,3.9
MET,Ñ,20.3,24,48.4,0.8,1.3,3.4,0.8,0.8,1,2.4,0.8,3.1,1,15,3.7,3.6,1.8,1.8,2.7,0.8
MTD,36.5,62,24,28.4,29.9,4.5,3.4,15.9,6,4.5,2.4,4,32.7,26.5,15,26.3,Ñ,0.6,1.8,Ñ,29.9
MGM,33.1,73.7,24,45.6,3,8.8,3.4,2.4,1.8,2.6,2.4,1.3,9.7,12.5,15,11.3,1.3,2.1,1.8,Ñ,3
KORS,16.5,36,24,19,5,3.7,3.4,7,2.1,1.7,2.4,3.5,9.5,14.4,15,9.1,Ñ,1.3,1.8,Ñ,5
MCHP,78.7,30.2,24,64.1,6,4.3,3.4,4.7,5.1,4.5,2.4,5.2,14.4,1.6,15,15.8,1.8,2,1.8,2.7,6
MU,6.3,6.5,24,16.5,2.1,2.6,3.4,2.1,2.1,2,2.4,1.8,4.5,4.6,15,5.3,Ñ,Ñ,1.8,Ñ,2.1
MSFT,71.7,45.5,24,23.8,8.7,6.5,3.4,5.1,7.2,6,2.4,4.7,16.4,16.2,15,13.7,1.8,1.5,1.8,2.3,8.7
MAA,40.3,23.7,24,54.4,1.6,1.9,3.4,2.5,6.5,7.2,2.4,6.3,14.5,15.4,15,15.8,4,4.4,1.8,3.7,1.6
MHK,19.3,19.3,24,24.4,2.7,3.3,3.4,2.6,2,1.1,2.4,1.6,15.5,11.2,15,15.6,Ñ,1.1,1.8,Ñ,2.7
TAP,7.1,20.5,24,26.3,1.3,2.8,3.4,1.7,1.5,3,2.4,3.5,9.8,6.5,15,18.8,2.2,3.2,1.8,1.9,1.3
MDLZ,29.3,28.7,24,30.6,2.4,3.2,3.4,2.2,2.5,2.5,2.4,2.1,26,22.9,15,20.3,2,2.1,1.8,1.6,2.4
MON,22,38.5,24,25.8,7.9,3.5,3.4,6.9,3.6,2.9,2.4,3.7,17.3,14.7,15,17.4,1.8,2.1,1.8,1.8,7.9
MNST,45.9,29.9,24,41.1,9.4,7.8,3.4,10.3,11,3.1,2.4,8,34,1.5,15,81.7,Ñ,2.8,1.8,Ñ,9.4
MCO,54.6,18,24,28.2,Ñ,2.2,3.4,47.4,7.5,2.8,2.4,6,44.1,Ñ,15,24.3,1,1.5,1.8,1.3,Ñ
MS,14.4,18,24,94.1,1.3,2.2,3.4,1,2.6,2.8,2.4,2,Ñ,Ñ,15,14.8,1.8,1.5,1.8,1.3,1.3
MOS,25.6,38.5,24,25,0.9,3.5,3.4,1.3,1.2,2.9,2.4,1.7,10,14.7,15,7.5,2.5,2.1,1.8,2.9,0.9
MSI,25.4,34,24,21.4,Ñ,2.4,3.4,5.2,2.7,2,2.4,2.3,15.3,7.3,15,13.7,2,2.2,1.8,2,Ñ
MYL,24,Ñ,24,30.8,1.6,1.4,3.4,3.7,1.8,2.1,2.4,2.4,11,5.8,15,14.1,Ñ,1.1,1.8,Ñ,1.6
NDAQ,49.1,26.5,24,29.7,2.2,2.7,3.4,1.5,3.3,7.8,2.4,2.6,15.4,23.4,15,15,1.9,1.5,1.8,1.6,2.2
NOV,Ñ,Ñ,24,11.9,0.9,2,3.4,1.1,1.8,1.9,2.4,1.4,18.8,18.5,15,12.7,0.6,1.9,1.8,2.3,0.9
NAVI,7.5,25.3,24,Ñ,1,4.2,3.4,Ñ,1.7,4.2,2.4,Ñ,3.4,1.5,15,3.5,4.8,0.8,1.8,Ñ,1
NTAP,24.2,43.1,24,25.1,5.4,3.8,3.4,3.3,2.8,1.6,2.4,2,13.4,8.7,15,9.7,1.4,2.4,1.8,1.7,5.4
NFLX,199.6,20.3,24,277.4,30.2,38.3,3.4,18.7,9.5,2.5,2.4,5.9,Ñ,17.1,15,1297.6,Ñ,1.1,1.8,Ñ,30.2
NWL,10.7,23.7,24,31.8,1.1,6,3.4,4.4,0.9,2.5,2.4,1.7,14.6,15.8,15,18.2,3.2,2.8,1.8,2,1.1
NFX,14.4,Ñ,24,42.8,4,1.8,3.4,3.4,3.1,2.9,2.4,2.9,5.9,8.3,15,5.7,Ñ,1.7,1.8,Ñ,4
NEM,245.1,26.8,24,101.3,1.8,1.4,3.4,1.3,2.7,3.1,2.4,1.9,8.9,10.3,15,7.1,0.7,0.9,1.8,1.6,1.8
